,Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
23,5038,The Incredible Hulk,PS2,Action,Sega,0.32,0.01,0.0,0.05,0.38
24,8843,NBA 09: The Inside,PS3,Sports,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15
25,8997,Ys: The Oath in Felghana,PSP,Role-Playing,Falcom Corporation,0.09,0.0,0.04,0.01,0.14
26,12526,Gun Showdown,PSP,Action,Activision,0.05,0.01,0.0,0.01,0.06
27,9051,Legend of the Guardians: The Owls of Ga'Hoole,DS,Action,Warner Bros. Interactive Entertainment,0.11,0.02,0.0,0.01,0.14
28,12393,There,PS,Simulation,Infogrames,0.03,0.02,0.0,0.0,0.06
29,5837,Dai-2-Ji Super Robot Taisen OG,PS3,Strategy,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3
30,14719,Pro Cast Sports Fishing,XB,Sports,Capcom,0.02,0.01,0.0,0.0,0.03
31,12243,NHL Hitz Pro,XB,Sports,Midway Games,0.05,0.01,0.0,0.0,0.07
32,3027,Taiko no Tatsujin Wii,Wii,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67
33,2550,Tom Clancy's Rainbow Six 3,PS2,Shooter,Ubisoft,0.4,0.31,0.0,0.1,0.81
34,5717,Bust-A-Move Universe,3DS,Puzzle,Square Enix,0.08,0.15,0.06,0.03,0.31
35,4883,GRID 2,PS3,Racing,Codemasters,0.07,0.23,0.01,0.09,0.39
36,5917,Showdown: Legends of Wrestling,PS2,Fighting,Acclaim Entertainment,0.15,0.11,0.0,0.04,0.3
37,510,F-Zero,SNES,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85
38,7471,Heisei Kyouiku linkai DS,DS,Misc,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21
39,15023,Bomberman Story DS,DS,Role-Playing,Rising Star Games,0.0,0.0,0.02,0.0,0.02
40,4032,Lollipop Chainsaw,X360,Action,Warner Bros. Interactive Entertainment,0.31,0.13,0.02,0.04,0.49
41,4054,Backyard Baseball,PS2,Sports,Atari,0.24,0.19,0.0,0.06,0.49
42,15761,Hands On! Tangrams,DS,Puzzle,Storm City Games,0.02,0.0,0.0,0.0,0.02
43,9419,Super Robot Wars BX,3DS,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
44,3508,Blacksite: Area 51,X360,Shooter,Midway Games,0.29,0.23,0.0,0.06,0.57
45,13337,Wing Island,Wii,Simulation,Konami Digital Entertainment,0.03,0.01,0.01,0.0,0.05
46,9382,Bakugan: Battle Trainer,DS,Action,Activision,0.12,0.0,0.0,0.01,0.13
47,9060,Front Mission Alternative,PS,Strategy,SquareSoft,0.0,0.0,0.13,0.01,0.14
48,1609,WWE SmackDown vs. Raw 2009,PS2,Fighting,THQ,0.69,0.0,0.0,0.55,1.24
49,322,Nintendogs + cats,3DS,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
50,8483,Rio,DS,Misc,THQ,0.12,0.03,0.0,0.01,0.16
51,6352,Tales of Eternia,PSP,Role-Playing,Ubisoft,0.0,0.01,0.25,0.01,0.27
52,663,NBA 2K15,PS4,Sports,Take-Two Interactive,1.46,0.54,0.01,0.37,2.38
53,6992,World Series Baseball,XB,Sports,Sega,0.17,0.05,0.0,0.01,0.23
54,10774,Dead or Alive 5,PSV,Fighting,Tecmo Koei,0.0,0.05,0.03,0.02,0.1
55,2834,Area 51,PS,Shooter,GT Interactive,0.4,0.27,0.0,0.05,0.72
56,5227,Naruto: Ultimate Ninja 3 (JP sales),PS2,Fighting,Atari,0.0,0.0,0.36,0.0,0.36
57,12385,Blur,PC,Racing,Activision,0.01,0.04,0.0,0.01,0.06
58,6225,Madagascar,XB,Platform,Activision,0.21,0.06,0.0,0.01,0.28
59,15110,Indianapolis 500 Evolution,X360,Racing,Zushi Games,0.02,0.0,0.0,0.0,0.02
60,9140,Lord of the Rings: Tactics,PSP,Strategy,Electronic Arts,0.11,0.02,0.0,0.02,0.14
61,16457,Heart no Kuni no Alice,PS2,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
62,1202,007: The World is not Enough,N64,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55
63,11564,Final Fantasy XI: Vana'diel Collection 2008,PS2,Role-Playing,Square Enix,0.03,0.03,0.01,0.01,0.08
64,1019,The Beatles: Rock Band,Wii,Misc,MTV Games,1.19,0.4,0.0,0.16,1.74
65,4038,SpongeBob SquarePants: Creature from the Krusty Krab,DS,Platform,THQ,0.45,0.0,0.0,0.04,0.49
66,77,Super Mario Kart,SNES,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
67,4068,Pac-Man World 2,XB,Action,Namco Bandai Games,0.36,0.11,0.0,0.02,0.49
68,410,Assassin's Creed Syndicate,PS4,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
69,12700,Zone of the Enders: The Fist of Mars,GBA,Role-Playing,Konami Digital Entertainment,0.04,0.02,0.0,0.0,0.06
70,569,Fable,XB,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66
71,1554,The Sims 2: Nightlife,PC,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27
72,11699,Titanic Mystery,DS,Puzzle,PlayV,0.05,0.02,0.0,0.01,0.08
73,14209,Crazy Chicken: Star Karts,DS,Racing,Phenomedia,0.03,0.0,0.0,0.0,0.03
74,11643,NHL Hitz 20-03,GC,Sports,Midway Games,0.06,0.02,0.0,0.0,0.08
75,10710,Real Bout Garou Densetsu,SAT,Fighting,SNK,0.0,0.0,0.1,0.0,0.1
76,11813,Big Mutha Truckers 2,XB,Racing,Empire Interactive,0.05,0.02,0.0,0.0,0.07
77,1490,The LEGO Movie Videogame,X360,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11,1.32
78,10104,Vacation Sports,Wii,Sports,Ubisoft,0.1,0.01,0.0,0.01,0.11
79,2277,Street Hoops,PS2,Sports,Activision,0.45,0.35,0.0,0.12,0.91
80,13239,Barnyard,GBA,Action,THQ,0.03,0.01,0.0,0.0,0.05
81,6190,Dead or Alive,PS,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28
82,7661,Shark Tale,XB,Action,Activision,0.15,0.04,0.0,0.01,0.2
83,2248,Blue Dragon,X360,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92
84,62,Call of Duty: Ghosts,X360,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
85,14743,Kiniro no Corda 2 f Encore,PSP,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
86,11111,The Mummy: Tomb of the Dragon Emperor,DS,Action,Vivendi Games,0.08,0.0,0.0,0.01,0.09
87,4686,Tomb Raider: The Last Revelation,PC,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41
88,1991,MVP Baseball 2003,PS2,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04
89,10660,Digimon All-Star Rumble,PS3,Fighting,Namco Bandai Games,0.06,0.03,0.0,0.02,0.1
90,11329,The Seven Deadly Sins: Unjust Sin,3DS,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
91,14129,Tokyo Majin Gakuen: Kenfuuchou,DS,Adventure,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03
92,6595,MTX Mototrax,PS2,Racing,Activision,0.13,0.1,0.0,0.03,0.26
93,11358,LEGO Soccer Mania,PS2,Sports,Electronic Arts,0.04,0.03,0.0,0.01,0.08
94,4873,Naruto: Path of the Ninja,DS,Role-Playing,D3Publisher,0.37,0.0,0.0,0.03,0.4
95,14105,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,Action,D3Publisher,0.02,0.01,0.0,0.0,0.03
96,5220,Call of Duty: Ghosts,WiiU,Shooter,Activision,0.23,0.09,0.01,0.03,0.36
97,1023,Madden NFL 99,PS,Sports,Electronic Arts,1.66,0.04,0.0,0.04,1.74
98,6932,Nintendo Presents: Crossword Collection,DS,Puzzle,Nintendo,0.0,0.21,0.0,0.02,0.24
99,5630,Prince of Persia: The Sands of Time,GC,Action,Ubisoft,0.25,0.06,0.0,0.01,0.32
100,10823,Gundam Breaker,PSV,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
101,7371,Ghostbusters II,2600,Action,Activision,0.2,0.01,0.0,0.0,0.21
102,4094,Need for Speed: Porsche Unleashed,GBA,Racing,Zoo Digital Publishing,0.35,0.13,0.0,0.01,0.48
103,9898,Deca Sports Extreme,3DS,Sports,Hudson Soft,0.08,0.0,0.03,0.01,0.12
104,4802,Thief (2014),PS3,Action,Square Enix,0.1,0.2,0.02,0.08,0.4
105,6522,Gundam Battle Universe,PSP,Fighting,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26
106,13422,The Bible Game,XB,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05
107,16348,Ultimate Board Game Collection,PS2,Misc,Xplosiv,0.01,0.0,0.0,0.0,0.01
108,12885,Adventure Time: Finn & Jake Investigations,WiiU,Action,Little Orbit,0.03,0.02,0.0,0.0,0.05
109,8227,Sports Illustrated for Kids: Baseball,GBA,Sports,BAM! Entertainment,0.12,0.05,0.0,0.0,0.17
110,3819,Silent Hill: Origins,PSP,Action,Konami Digital Entertainment,0.22,0.16,0.04,0.1,0.53
111,271,EyeToy Play,PS2,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
112,14780,Baldur's Gate: Dark Alliance,GBA,Role-Playing,"Destination Software, Inc",0.02,0.01,0.0,0.0,0.03
113,3090,Madden NFL 10,PSP,Sports,Electronic Arts,0.5,0.08,0.0,0.08,0.66
114,1882,LEGO Star Wars II: The Original Trilogy,DS,Action,LucasArts,0.96,0.04,0.0,0.08,1.09
115,7893,Hulk,GC,Action,Universal Interactive,0.15,0.04,0.0,0.01,0.19
116,9003,Deception IV: Blood Ties,PSV,Action,Tecmo Koei,0.03,0.03,0.07,0.02,0.14
117,3754,Tales of Symphonia: Dawn of the New World,Wii,Role-Playing,Namco Bandai Games,0.22,0.05,0.24,0.03,0.54
118,12521,BlazBlue: Chrono Phantasma Extend,XOne,Action,PQube,0.05,0.01,0.0,0.01,0.06
119,14942,Serious Sam Advance,GBA,Shooter,Global Star,0.02,0.01,0.0,0.0,0.02
120,7253,NBA Live 09 All-Play,Wii,Sports,Electronic Arts,0.19,0.01,0.0,0.02,0.22
121,9204,Barbie Explorer,PS,Platform,Unknown,0.08,0.05,0.0,0.01,0.14
122,8001,Hello Kitty: Birthday Adventures,DS,Adventure,Namco Bandai Games,0.06,0.11,0.0,0.02,0.18
123,4148,Fantavision,PS2,Puzzle,Sony Computer Entertainment,0.14,0.11,0.19,0.04,0.47
124,13317,Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,Strategy,Tecmo Koei,0.03,0.02,0.0,0.0,0.05
125,3156,Dragon Age II,PC,Action,Electronic Arts,0.23,0.33,0.0,0.09,0.64
126,3272,XGRA: Extreme G-Racing Association,PS2,Racing,Eidos Interactive,0.3,0.24,0.0,0.08,0.62
127,15092,Left 4 Dead,PC,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.02
128,1169,NASCAR 2000,PS,Racing,Electronic Arts,0.88,0.6,0.0,0.1,1.59
129,856,Harry Potter and the Chamber of Secrets,PS,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98
130,15401,The Legend of Heroes: Trails in the Sky Second Chapter,PS3,Role-Playing,Falcom Corporation,0.0,0.0,0.02,0.0,0.02
131,10528,FIFA Street,XB,Sports,Electronic Arts,0.08,0.02,0.0,0.0,0.1
132,13811,Phantom Breaker,X360,Fighting,5pb,0.02,0.0,0.02,0.0,0.04
133,12094,Moshi Monsters: Katsuma Unleashed,3DS,Action,Activision,0.03,0.04,0.0,0.0,0.07
134,4706,Farming Simulator 2015,X360,Simulation,Koch Media,0.21,0.16,0.0,0.04,0.41
135,794,Dead Rising,X360,Action,Capcom,1.16,0.65,0.08,0.2,2.09
136,15239,Puyo Puyo! 15th Anniversary,PSP,Puzzle,Sega,0.0,0.0,0.02,0.0,0.02
137,4669,High Rollers Casino,PS2,Misc,Mud Duck Productions,0.2,0.16,0.0,0.05,0.42
138,8952,Power Pro Kun Pocket 1+2,GBA,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.15
139,9568,Portal Runner,PS2,Platform,3DO,0.06,0.05,0.0,0.02,0.13
140,31,Pokémon Yellow: Special Pikachu Edition,GB,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
141,9576,Sengoku Basara 3 Utage,Wii,Action,Capcom,0.0,0.0,0.13,0.0,0.13
142,3026,Need For Speed: Undercover,Wii,Racing,Electronic Arts,0.27,0.32,0.0,0.07,0.67
143,6551,Karaoke Joysound Wii,Wii,Misc,Hudson Soft,0.01,0.0,0.25,0.0,0.26
144,10491,Castlevania: Lords of Shadow 2,X360,Action,Konami Digital Entertainment,0.02,0.07,0.0,0.01,0.1
145,11979,Emergency 2012,PC,Simulation,Deep Silver,0.01,0.04,0.0,0.01,0.07
146,12182,The Final Round,PS,Sports,Konami Digital Entertainment,0.04,0.03,0.0,0.0,0.07
147,11206,Royal Palace of White Sword and The City of Gentiles,XB,Role-Playing,Take-Two Interactive,0.06,0.02,0.0,0.0,0.09
148,8310,Tak: The Great Juju Challenge,GBA,Platform,THQ,0.12,0.05,0.0,0.0,0.17
149,13445,Wayne Gretzky's 3D Hockey '98,PS,Sports,GT Interactive,0.03,0.02,0.0,0.0,0.05
150,3860,Freedom Fighters,PS2,Shooter,Electronic Arts,0.25,0.2,0.0,0.07,0.52
151,3088,Um Jammer Lammy,PS,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66
152,12069,Tom and Jerry in War of the Whiskers,GC,Fighting,NewKidCo,0.05,0.01,0.0,0.0,0.07
153,8892,Winning Post 4,PS,Sports,Tecmo Koei,0.0,0.0,0.14,0.01,0.15
154,13080,Monster 4x4: Masters of Metal,GC,Racing,Ubisoft,0.04,0.01,0.0,0.0,0.05
155,16212,Freekstyle,GBA,Racing,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01
156,2231,LEGO Jurassic World,PS3,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0.0,0.15,0.93
157,13731,Gal*Gun,X360,Shooter,Alchemist,0.0,0.0,0.04,0.0,0.04
158,11865,Archer Maclean's 3D Pool,GBA,Misc,Crave Entertainment,0.05,0.02,0.0,0.0,0.07
159,563,Need for Speed: Shift,PS3,Racing,Electronic Arts,0.69,1.41,0.04,0.53,2.68
160,8166,K-1 World Grand Prix,PS2,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01,0.18
161,4640,Harry Potter and the Goblet of Fire,GC,Action,Electronic Arts,0.32,0.08,0.0,0.01,0.42
162,9238,4x4 EVO 2,GC,Racing,Vivendi Games,0.11,0.03,0.0,0.0,0.14
163,8989,Wizardry VII: Gadeia no Houshu,PS,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.14,0.01,0.15
164,10198,Odama,GC,Misc,Nintendo,0.07,0.02,0.02,0.0,0.11
165,2551,Lego Batman 3: Beyond Gotham,PS3,Action,Warner Bros. Interactive Entertainment,0.33,0.35,0.0,0.13,0.81
166,13297,ESPN Great Outdoor Games Bass 2002,GBA,Sports,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.05
167,8073,Trinity Universe,PS3,Role-Playing,Nippon Ichi Software,0.07,0.06,0.03,0.02,0.18
168,566,Call Of Duty 2: Big Red One,PS2,Shooter,Activision,1.48,0.92,0.01,0.26,2.67
169,8984,Boktai: The Sun is in Your Hand,GBA,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.15
170,6584,Fire Emblem: Thracia 776,SNES,Strategy,Nintendo,0.0,0.0,0.26,0.0,0.26
171,982,High School Musical: Sing It!,Wii,Misc,Disney Interactive Studios,1.16,0.45,0.0,0.16,1.77
172,4711,X-Men: The Official Game,PS2,Action,Activision,0.2,0.16,0.0,0.05,0.41
173,13335,GunPey DS,DS,Puzzle,Atari,0.04,0.0,0.0,0.0,0.05
174,10125,Pac-Man and the Ghostly Adventures 2,X360,Adventure,Namco Bandai Games,0.05,0.05,0.0,0.01,0.11
175,10256,NHL Rivals 2004,XB,Sports,Microsoft Game Studios,0.08,0.02,0.0,0.0,0.11
176,13422,The Bible Game,XB,Misc,Crave Entertainment,0.03,0.01,0.0,0.0,0.05
177,16107,Barbie and Her Sisters Puppy Rescue,WiiU,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
178,170,Final Fantasy XIII,PS3,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
179,14901,The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,Action,Banpresto,0.0,0.0,0.03,0.0,0.03
180,13731,Gal*Gun,X360,Shooter,Alchemist,0.0,0.0,0.04,0.0,0.04
181,13022,Project Setsuna,PSV,Role-Playing,Square Enix,0.0,0.0,0.05,0.0,0.05
182,3794,NBA 06,PS2,Sports,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53
183,15738,Cookie & Cream,DS,Platform,505 Games,0.01,0.0,0.0,0.0,0.02
184,16489,Case Closed: One Truth Prevails,Wii,Adventure,Nobilis,0.0,0.0,0.01,0.0,0.01
185,2818,Ratchet & Clank Collection,PS3,Action,Sony Computer Entertainment,0.47,0.14,0.02,0.09,0.73
186,6461,Danganronpa 2: Goodbye Despair,PSV,Misc,Nippon Ichi Software,0.13,0.07,0.0,0.06,0.26
187,16256,Doraemon Wii: Himitsu Douguou Ketteisen!,Wii,Misc,Sega,0.0,0.0,0.01,0.0,0.01
188,2789,Pirates of the Caribbean: At World's End,PS3,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.74
189,12084,Godzilla (2014),PS3,Action,Namco Bandai Games,0.0,0.01,0.06,0.0,0.07
190,8360,Gyakuten Saiban 3,GBA,Adventure,Capcom,0.0,0.0,0.16,0.0,0.17
191,8170,Super Robot Taisen A Portable,PSP,Strategy,Namco Bandai Games,0.0,0.0,0.18,0.0,0.18
192,9729,Final Fantasy XIV: Heavensward,PS4,Action,Square Enix,0.0,0.05,0.06,0.01,0.12
193,6231,SimCity 2000,SAT,Simulation,Sega,0.0,0.0,0.28,0.0,0.28
194,12464,Metal Gear Solid: Social Ops,PS2,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06
195,5049,Rogue Trip: Vacation 2012,PS,Racing,GT Interactive,0.21,0.14,0.0,0.02,0.38
196,2686,Unlimited Saga,PS2,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77
197,11636,Emily the Strange: Strangerous,DS,Action,DTP Entertainment,0.04,0.03,0.0,0.01,0.08
198,30,Call of Duty: Modern Warfare 3,X360,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
199,2772,Mortal Kombat: Unchained,PSP,Fighting,Midway Games,0.67,0.01,0.0,0.06,0.74
200,7684,South Park: The Stick of Truth,PC,Role-Playing,Ubisoft,0.07,0.1,0.0,0.02,0.2
201,323,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
202,8509,Doctor Lautrec and the Forgotten Knights,3DS,Adventure,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16
203,14916,Ghostbusters (2016),XOne,Action,Activision,0.02,0.0,0.0,0.0,0.02
204,5786,Final Fantasy IV,PS,Simulation,SquareSoft,0.0,0.0,0.29,0.02,0.31
205,3143,Test Drive Unlimited 2,PS3,Racing,Atari,0.16,0.35,0.01,0.12,0.64
206,5921,SimCity 4,PC,Simulation,Electronic Arts,0.01,0.24,0.0,0.05,0.3
207,6051,One Piece: Pirate Warriors 3,PS3,Action,Namco Bandai Games,0.0,0.09,0.19,0.01,0.29
208,8621,MLB 11: The Show,PSP,Sports,Sony Computer Entertainment,0.15,0.0,0.0,0.01,0.16
209,12766,Starwinder: The Ultimate Space Race,PS,Racing,Mindscape,0.03,0.02,0.0,0.0,0.06
210,6082,I Spy: Spooky Mansion,Wii,Puzzle,Storm City Games,0.27,0.0,0.0,0.02,0.29
211,5195,Press Your Luck 2010 Edition,Wii,Misc,Ubisoft,0.33,0.0,0.0,0.03,0.36
212,2866,Top Spin 4,PS3,Sports,Take-Two Interactive,0.17,0.4,0.0,0.14,0.71
213,860,Dragon Age: Inquisition,PS4,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
214,4107,Tiger Woods PGA Tour 07,X360,Sports,Electronic Arts,0.44,0.0,0.0,0.04,0.48
215,9548,Mystic Ark,SNES,Role-Playing,Enix Corporation,0.0,0.0,0.13,0.0,0.13
216,10417,Brunswick Circuit Pro Bowling 2,PS,Sports,THQ,0.06,0.04,0.0,0.01,0.11
217,2042,Pong: The Next Level,PS,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01
218,12610,Magi: Aratanaru Sekai,3DS,Role-Playing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
219,13172,Pro Cycling Manager 2016,PS4,Sports,Focus Home Interactive,0.0,0.04,0.0,0.01,0.05
220,7779,Scene It? Twilight,DS,Misc,Konami Digital Entertainment,0.11,0.07,0.0,0.02,0.19
221,7608,Mahjongg Mysteries: Ancient Egypt,DS,Puzzle,Avanquest,0.07,0.11,0.0,0.02,0.2
222,7276,Shin Megami Tensei: Persona,PSP,Role-Playing,Atlus,0.08,0.0,0.13,0.01,0.22
223,3589,Tony Hawk: Shred,Wii,Sports,Activision,0.41,0.11,0.0,0.04,0.56
224,7555,Samurai Spirits (CD),NG,Fighting,SNK,0.0,0.0,0.2,0.0,0.2
225,5058,FIFA 17,PS3,Sports,Electronic Arts,0.02,0.29,0.01,0.05,0.38
226,12323,Zill O'll Infinite Plus,PSP,Role-Playing,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
227,6909,Viva Pinata: Party Animals,X360,Misc,Microsoft Game Studios,0.19,0.03,0.0,0.02,0.24
228,9315,Pro Evolution Soccer 2015,XOne,Sports,Konami Digital Entertainment,0.02,0.1,0.0,0.01,0.14
229,8679,DiRT 3,PC,Racing,Codemasters,0.0,0.13,0.0,0.03,0.16
230,10137,To Heart 2: Dungeon Travelers,PSP,Adventure,Aqua Plus,0.0,0.0,0.11,0.0,0.11
231,3264,Wipeout: The Game,DS,Misc,Activision,0.58,0.0,0.0,0.04,0.62
232,14977,The Voice,PS3,Action,Activision,0.02,0.0,0.0,0.0,0.02
233,3046,Adventures of Tron,2600,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67
234,16059,Sangoku Koi Senki: Otome no Heihou!,PS2,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
235,8216,Yu-Gi-Oh! Zexal World Duel Carnival,3DS,Misc,Konami Digital Entertainment,0.0,0.08,0.08,0.01,0.17
236,6330,Ty the Tasmanian Tiger,GC,Platform,Electronic Arts,0.21,0.05,0.0,0.01,0.27
237,2289,Marvel: Ultimate Alliance 2,X360,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.91
238,520,Metroid Prime,GC,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
239,576,LEGO Star Wars: The Complete Saga,X360,Action,LucasArts,1.53,0.87,0.0,0.24,2.64
240,9952,Power Pro Kun Pocket 14,DS,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12
241,856,Harry Potter and the Chamber of Secrets,PS,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98
242,5885,Hard Hitter Tennis,PS2,Sports,Midas Interactive Entertainment,0.15,0.11,0.0,0.04,0.3
243,11232,Cartoon Network: Punch Time Explosion XL,Wii,Fighting,Crave Entertainment,0.07,0.01,0.0,0.01,0.09
244,5897,Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,Action,Atari,0.21,0.08,0.0,0.01,0.3
245,16304,Fireman Sam: Action Stations,DS,Action,Avanquest Software,0.0,0.01,0.0,0.0,0.01
246,4569,Neon Genesis Evangelion 2nd Impression,SAT,Role-Playing,Sega,0.0,0.0,0.42,0.0,0.42
247,2406,Warriors Orochi,PS2,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87
248,8196,Scooby-Doo! Unmasked,GBA,Platform,THQ,0.13,0.05,0.0,0.0,0.18
249,13522,Hyperdimension Neptunia mk2,PSV,Action,Compile Heart,0.0,0.0,0.04,0.0,0.04
250,5405,Harry Potter and the Deathly Hallows - Part 2,PS3,Action,Electronic Arts,0.14,0.15,0.0,0.05,0.34
251,3673,SpongeBob SquarePants: SuperSponge,GBA,Action,THQ,0.39,0.15,0.0,0.01,0.55
252,1098,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,Platform,THQ,1.08,0.45,0.0,0.14,1.67
253,5141,Dishonored,PS4,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
254,7634,Tony Hawk's Pro Skater 5,PS4,Sports,Activision,0.09,0.08,0.0,0.03,0.2
255,13098,Ben 10 Galactic Racing,PSV,Racing,D3Publisher,0.02,0.02,0.0,0.01,0.05
